"nid","tnid","type","title","body","field_file","field_image","field_image_title","field_image_alt","resource_type","document_filter_categories","language","user_id","author","created","updated","alias_path","promote","status","sticky"
"1485","0","Document","RTS Agent Program Guidelines ","The RTS Agent Program Guidelines provide important information and guidelines for all active RTS Agents in our agent program. ","https://test-rts-financial.pantheonsite.io/sites/default/files/Agent_Program_Quick_Sheet_Final_5.12.pdf","","","","Document","Resources","English","28","wjorgensen","1621625319","1640641729","/doc/rts-program-guidelines","0","1","0"
"1486","0","Document","RTS Agent Program Overview","Understanding the RTS Agent Program","https://test-rts-financial.pantheonsite.io/sites/default/files/RTS%20Agent%20Program%20Overview.pdf","","","","Document","Resources","English","28","wjorgensen","1621625411","1644270642","/doc/rts-agent-program","0","1","0"
"1487","0","Document","RTS Agent Influencer Information ","A guide on how to get started as an influencer.","https://test-rts-financial.pantheonsite.io/sites/default/files/How%20to%20Get%20Started%20as%20an%20RTS%20Influencer.pdf","","","","Document","Resources","English","28","wjorgensen","1621630586","1646951633","/doc/how-get-started","0","1","0"
"1488","0","Document","RTS Agent Program Quick Sheet ","Quick Tips on the RTS Agent Program","https://test-rts-financial.pantheonsite.io/sites/default/files/RTS%20Agent%20Program%20Quick%20Sheet.pdf","","","","Document","Resources","English","28","wjorgensen","1621630687","1646951677","/doc/agent-program-quick-sheet","0","1","0"
"1526","0","Document","Facebook Image 1","Testing","","https://test-rts-financial.pantheonsite.io/sites/default/files/test-48ehfdfd_0.jpg","","","Image","Facebook","English","28","wjorgensen","1628191869","1632741651","/doc/facebook-image-1","0","0","0"
"1527","0","Document","Instagram Test Image","Testing","","https://test-rts-financial.pantheonsite.io/sites/default/files/test-48ehfdfd.jpg","","","Image","Instagram","English","28","wjorgensen","1628192049","1632741623","/doc/instagram-test-image","0","0","0"
"1552","0","Document","RTS Agent Facebook Cover Art 1","Image copy: Proud to be an RTS Agent!
","","https://test-rts-financial.pantheonsite.io/sites/default/files/820x360%20Facebook%20Cover%20Art1.jpg","","","Image","Facebook","English","31","dschneider","1632423680","1632506952","/doc/facebook-cover-art-1","0","1","0"
"1553","0","Document","RTS Agent Facebook Cover Art 2","Image copy: Proud to be an RTS Agent!
","","https://test-rts-financial.pantheonsite.io/sites/default/files/820x360%20Facebook%20Cover%20Art2.jpg","","","Image","Facebook","English","31","dschneider","1632426927","1632506969","/doc/facebook-cover-art-2","0","1","0"
"1554","0","Document","RTS Agent Facebook Cover Art 3","Image copy: Connecting carriers to solutions that promote growth!","","https://test-rts-financial.pantheonsite.io/sites/default/files/820x360%20Facebook%20Cover%20Art3.jpg","","","Image","Facebook","English","31","dschneider","1632428462","1632506986","/doc/rts-agent-facebook-cover-art-3","0","1","0"
"1555","0","Document","RTS Agent Facebook Cover Art 4","Image copy: Helping carriers grow their business is my passion.","","https://test-rts-financial.pantheonsite.io/sites/default/files/820x360%20Facebook%20Cover%20Art4.jpg","","","Image","Facebook","English","31","dschneider","1632429648","1632507006","/doc/rts-agent-facebook-cover-art-4","0","1","0"
"1556","0","Document","RTS Agent Facebook Graphic 1","Image copy: Call me today to learn more about RTS!","","https://test-rts-financial.pantheonsite.io/sites/default/files/1200x1200%20Facebook%20Image1.jpg","","","Image","Facebook","English","31","dschneider","1632430011","1632507023","/doc/rts-agent-facebook-graphic-1","0","1","0"
"1557","0","Document","RTS Agent Facebook Graphic 2","Image copy: Join the thousands of carriers who use RTS. SIGN UP TODAY!","","https://test-rts-financial.pantheonsite.io/sites/default/files/1200x1200%20Facebook%20Image2.jpg","","","Image","Facebook","English","31","dschneider","1632430109","1632507038","/doc/facebook-graphic-2","0","1","0"
"1558","0","Document","RTS Agent Facebook Graphic 3","Image copy: Join the thousands of carriers who use RTS. SIGN UP TODAY!","","https://test-rts-financial.pantheonsite.io/sites/default/files/1200x1200%20Facebook%20Image3.jpg","","","Image","Facebook","English","31","dschneider","1632430249","1632513621","/doc/rts-agent-facebook-graphic-3","0","1","0"
"1559","0","Document","RTS Agent Facebook Graphic 4","Image copy: Join the thousands of carriers who use RTS. SIGN UP TODAY!","","https://test-rts-financial.pantheonsite.io/sites/default/files/1200x1200%20Facebook%20Image4.jpg","","","Image","Facebook","English","31","dschneider","1632430440","1632513591","/doc/rts-agent-facebook-graphic-4","0","1","0"
"1560","0","Document","RTS Agent Facebook Graphic 5","Image copy: Curious what fuel discounts and factoring could do for you? LET'S TALK.","","https://test-rts-financial.pantheonsite.io/sites/default/files/1200x1200%20Facebook%20Image5.jpg","","","Image","Facebook","English","31","dschneider","1632430813","1632431211","/doc/rts-agent-facebook-graphic-5","0","1","0"
"1562","0","Document","RTS Agent Instagram Image 1","Image copy: Let's talk about how RTS can help you grow your business. ","","https://test-rts-financial.pantheonsite.io/sites/default/files/1080x1080%20IG%20Image1.jpg","","","Image","Instagram","English","31","dschneider","1632517045","1632517045","/doc/rts-agent-instagram-image-1","0","1","0"
"1563","0","Document","RTS Agent Instagram Image 2","Image copy: Don't wait to grow your business. With RTS, you can start today. ","","https://test-rts-financial.pantheonsite.io/sites/default/files/1080x1080%20IG%20Image2.jpg","","","Image","Instagram","English","31","dschneider","1632519768","1632519768","/doc/rts-agent-instagram-image-2","0","1","0"
"1564","0","Document","RTS Agent Instagram Image 3","Image copy: Let's talk about how RTS can help you grow your business. ","","https://test-rts-financial.pantheonsite.io/sites/default/files/1080x1080%20IG%20Image3.jpg","","","Image","Instagram","English","31","dschneider","1632519819","1632519819","/doc/rts-agent-instagram-image-3","0","1","0"
"1565","0","Document","RTS Agent Instagram Story Image 1","Image copy: I'm an RTS agent! Reply to this story if you'd like to learn more. ","","https://test-rts-financial.pantheonsite.io/sites/default/files/1080x1920%20IG%20Story%20Image1.jpg","","","Image","Instagram","English","31","dschneider","1632519895","1632519925","/doc/rts-agent-instagram-story-image-1","0","1","0"
"1566","0","Document","RTS Agent Instagram Story Image 2","Image copy: Want more cash flow and better discounts on diesel? Ask me how. ","","https://test-rts-financial.pantheonsite.io/sites/default/files/1080x1920%20IG%20Story%20Image2.jpg","","","Image","Instagram","English","31","dschneider","1632520069","1632520069","/doc/rts-agent-instagram-story-image-2","0","1","0"
"1567","0","Document","RTS Agent Instagram Story Image 3","Image copy: I'm an RTS agent! Reply to this story if you'd like to learn more. ","","https://test-rts-financial.pantheonsite.io/sites/default/files/1080x1920%20IG%20Story%20Image3.jpg","","","Image","Instagram","English","31","dschneider","1632520132","1632520132","/doc/rts-agent-instagram-story-image-3","0","1","0"
"1568","0","Document","RTS Agent LinkedIn Cover Art 1","Image copy: Proud to be an RTS Agent!","","https://test-rts-financial.pantheonsite.io/sites/default/files/1128x191%20LinkedIn%20Cover%20Art1.jpg","","","Image","LinkedIn","English","31","dschneider","1632520290","1633367597","/doc/rts-agent-linkedin-cover-art-1","0","1","0"
"1569","0","Document","RTS Agent LinkedIn Cover Art 2","Image copy: I'm Here to Help Your Trucking Company!","","https://test-rts-financial.pantheonsite.io/sites/default/files/1128x191%20LinkedIn%20Cover%20Art2.jpg","","","Image","LinkedIn","English","31","dschneider","1632520338","1633367581","/doc/rts-agent-linkedin-cover-art-2","0","1","0"
"1570","0","Document","RTS Agent LinkedIn Cover Art 3","Image copy: Proud RTS Agent","","https://test-rts-financial.pantheonsite.io/sites/default/files/1128x191%20LinkedIn%20Cover%20Art3.jpg","","","Image","LinkedIn","English","31","dschneider","1632520393","1633367571","/doc/rts-agent-linkedin-cover-art-3","0","1","0"
"1582","0","Document","RTS Agent Program Social Media Best Practices","Information on the best ways to use social media to promote RTS. ","https://test-rts-financial.pantheonsite.io/sites/default/files/RTS-Agent-Program-Social-Media-Best-Practices.pdf","","","","Document","Resources","English","31","dschneider","1635887922","1635887922","/doc/rts-agent-program-social-media-best-practices","0","1","0"
"1597","0","Document","RTS Agent YouTube Cover Art 1","Image copy: RTS Agent logo","","https://test-rts-financial.pantheonsite.io/sites/default/files/1920x1080%20YouTube%20Cover%20Art%201.jpg","","","Image","YouTube","English","31","dschneider","1640641171","1644266784","/doc/rts-agent-youtube-cover-art-1","0","1","0"
"1598","0","Document","RTS Agent YouTube Cover Art 2","Image copy: RTS Agent logo","","https://test-rts-financial.pantheonsite.io/sites/default/files/1920x1080%20YouTube%20Cover%20Art%202.jpg","","","Image","YouTube","English","31","dschneider","1640641230","1644266821","/doc/rts-agent-youtube-cover-art-2","0","1","0"
"1599","0","Document","RTS Agent YouTube Cover Art 3","Image copy: RTS Agent logo","","https://test-rts-financial.pantheonsite.io/sites/default/files/1920x1080%20YouTube%20Cover%20Art%203.jpg","","","Image","YouTube","English","31","dschneider","1640641274","1644266707","/doc/rts-agent-cover-art-3","0","1","0"
"1600","0","Document","RTS Agent YouTube Video Ad 1","Image copy: RTS Agent logo","","https://test-rts-financial.pantheonsite.io/sites/default/files/1920x1080%20YouTube%20Video%20Ad%201.jpg","","","Image","YouTube","English","31","dschneider","1640641403","1644266689","/doc/rts-agent-youtube-video-ad-1","0","1","0"
"1601","0","Document","RTS Agent YouTube Video Ad 3","Image copy: RTS Agent logo","","https://test-rts-financial.pantheonsite.io/sites/default/files/1920x1080%20YouTube%20Video%20Ad%203.jpg","","","Image","YouTube","English","31","dschneider","1640641452","1644266635","/doc/rts-agent-youtube-video-ad-3","0","1","0"
"1602","0","Document","RTS Agent Logo - Blue","RTS Agent logo for agent use, blue with a transparent background","","https://test-rts-financial.pantheonsite.io/sites/default/files/400px%20RTS%20AGENT-%200091EA%20-%20RGB.png","","","Image","Resources","English","31","dschneider","1640641916","1640641960","/doc/rts-agent-logo-blue","0","1","0"
"1603","0","Document","RTS Agent Logo - Black","RTS Agent logo for agent use, black with a transparent background","","https://test-rts-financial.pantheonsite.io/sites/default/files/400px%20RTS%20AGENT-%20Black%20-%20RGB.png","","","Image","Resources","English","31","dschneider","1640642011","1640642011","/doc/rts-agent-logo-black","0","1","0"
"1604","0","Document","RTS Agent Logo - White","RTS Agent Logo, white with a transparent background","","https://test-rts-financial.pantheonsite.io/sites/default/files/400px%20RTS%20AGENT-%20White%20-%20RGB.png","","","Image","Resources","English","31","dschneider","1640642068","1640642068","/doc/rts-agent-logo-white","0","1","0"
